Location,BPH_incidence,PCA_incidence,BPH_q,PCA_q,pattern
Sudan,247.9044784816,19.131143881502386,2,1,BPH-dominant
Switzerland,503.45253882804,72.1808791262245,4,4,consistent
United Kingdom,273.54941202473003,75.65789142917453,2,4,PCA-dominant
Dominica,367.19748467063,134.1003309933258,3,4,PCA-dominant
Sao Tome and Principe,246.13531943802,31.22524007064637,1,2,PCA-dominant
Germany,200.87936376754,85.60265521823459,1,4,PCA-dominant
Slovakia,412.61407717694,48.61792509703052,3,3,consistent
Uzbekistan,331.09966503001,7.899659170436188,3,1,BPH-dominant
Solomon Islands,438.484977545,46.096043793617845,3,3,consistent
Bangladesh,325.30216252623,11.57984022504796,3,1,BPH-dominant
Sierra Leone,241.47554792285,38.028750730770646,1,2,PCA-dominant
Argentina,154.45440378528,40.3497021308722,1,2,PCA-dominant
Slovenia,296.55324102479,79.70910231837274,2,4,PCA-dominant
Republic of Korea,126.21203726374,25.89287962797,1,2,PCA-dominant
Greece,209.3882890449,50.01189854398798,1,3,PCA-dominant
Maldives,466.50917951275,24.02014616783764,4,1,BPH-dominant
Cabo Verde,247.90525598751,50.61709304654104,2,3,PCA-dominant
United Republic of Tanzania,261.78744010861004,50.19672599246517,2,3,PCA-dominant
Togo,242.37679878882,29.101129180223943,1,2,PCA-dominant
Iceland,189.9794381646,84.33377896264274,1,4,PCA-dominant
Cameroon,244.45955955677,38.519453031892176,1,2,PCA-dominant
Belize,354.91093869448,68.72571671861881,3,4,PCA-dominant
Burundi,262.23153155155,28.11316509963956,2,2,consistent
Uganda,263.52529369062,52.20121087555578,2,3,PCA-dominant
Singapore,126.95467765857,24.416532252961677,1,2,PCA-dominant
Tonga,438.90177619509,45.75499411769924,4,3,BPH-dominant
Senegal,247.87064539082,27.98718445592373,2,2,consistent
Ireland,195.38742310858,70.93934440101535,1,4,PCA-dominant
Bhutan,326.38767136673,6.32400168406403,3,1,BPH-dominant
Chad,244.25006675481,30.690034653364936,1,2,PCA-dominant
Dominican Republic,348.85311019811,92.25747548689804,3,4,PCA-dominant
Zambia,263.04654870193,76.36021792502493,2,4,PCA-dominant
Myanmar,470.98196240075,20.65873986053774,4,1,BPH-dominant
Saint Kitts and Nevis,360.78630153977,134.96768792634603,3,4,PCA-dominant
Comoros,260.69931052117,15.906979495484324,2,1,BPH-dominant
Chile,190.57489780231,51.63856131917496,1,3,PCA-dominant
American Samoa,469.69487869717,85.61752881350357,4,4,consistent
Saudi Arabia,253.13643619557,25.334966649904885,2,2,consistent
Côte d'Ivoire,245.29598803341,46.22618034952804,1,3,PCA-dominant
Grenada,363.60737843879,125.367054239867,3,4,PCA-dominant
Bolivia (Plurinational State of),337.19079725598,104.29628315079351,3,4,PCA-dominant
India,430.83092999048006,8.348250646748555,3,1,BPH-dominant
Algeria,248.97995818504,5.671863043166013,2,1,BPH-dominant
Botswana,371.86069177556,14.92361248185089,3,1,BPH-dominant
Brazil,221.8977532384,44.2613060026863,1,3,PCA-dominant
Djibouti,262.7193697611,22.548141426049007,2,1,BPH-dominant
Cuba,357.50631432945,129.11056069549772,3,4,PCA-dominant
Andorra,194.82341625851,65.44957667435717,1,3,PCA-dominant
Sri Lanka,481.79188153183,18.537648218833464,4,1,BPH-dominant
Nepal,271.03651248508,5.281484894720392,2,1,BPH-dominant
Paraguay,267.96192610544,52.42236444964984,2,3,PCA-dominant
Northern Mariana Islands,438.77337094846,48.36594362311792,4,3,BPH-dominant
Philippines,497.99678322455,25.006934917960702,4,2,BPH-dominant
Vanuatu,439.0042104882,16.654915185203876,4,1,BPH-dominant
Morocco,246.40688947703,8.828096574262474,1,1,consistent
Gambia,244.49952554575,6.154736086524652,1,1,consistent
Ecuador,337.62526374114,58.3903333869291,3,3,consistent
Pakistan,351.75019783949,8.304774761524518,3,1,BPH-dominant
Liberia,246.60676935003,44.90135455595262,1,3,PCA-dominant
Palestine,250.13565883837,28.43837617330744,2,2,consistent
Peru,331.62085276412,78.40811140440697,3,4,PCA-dominant
Namibia,320.86344960766,36.16569379129714,2,2,consistent
Palau,447.6327167663,44.13685647156609,4,3,BPH-dominant
Colombia,501.7927557316,53.44222289296681,4,3,BPH-dominant
Cook Islands,446.46711809524,167.74858302494525,4,4,consistent
Kenya,327.99078907267,26.982354752046405,3,2,BPH-dominant
Democratic People's Republic of Korea,411.12896239642,12.884431224450372,3,1,BPH-dominant
Albania,374.72881263329,31.89839119597071,3,2,BPH-dominant
Belarus,625.73093366631,84.75353393222021,4,4,consistent
Puerto Rico,365.98018438444,55.20317452624175,3,3,consistent
Bahrain,263.6342556787,34.999785834115805,2,2,consistent
Syrian Arab Republic,246.35327972716,17.60182264891518,1,1,consistent
Eritrea,262.72283607434,17.894518515122865,2,1,BPH-dominant
Lesotho,321.92977060836,27.364781843739756,2,2,consistent
China,300.54598547028,8.252095370139417,2,1,BPH-dominant
Malta,261.44130643273,42.899034778963866,2,3,PCA-dominant
Croatia,371.1567730076,56.63486025908307,3,3,consistent
San Marino,195.66066000914,49.82630182112116,1,3,PCA-dominant
Armenia,329.69300980863,24.790550757619695,3,2,BPH-dominant
Afghanistan,249.89897519041,8.98196429315962,2,1,BPH-dominant
Bermuda,350.87029444693,170.27530260524546,3,4,PCA-dominant
Tokelau,440.45430686936,18.667180378399504,4,1,BPH-dominant
Costa Rica,505.33342429723,77.59174157379925,4,4,consistent
Ethiopia,276.43413765045,15.978960573927512,2,1,BPH-dominant
Oman,248.59832304951,25.949524082731564,2,2,consistent
Ghana,246.51221289596,45.56508956485892,1,3,PCA-dominant
Fiji,458.62308340126,33.4277834736564,4,2,BPH-dominant
Lithuania,696.08859738197,114.30563955251176,4,4,consistent
South Sudan,261.61534902374,28.409239024695324,2,2,consistent
Thailand,466.7469029931201,27.52764824308597,4,2,BPH-dominant
Nicaragua,505.08124209218,61.60915992017374,4,3,BPH-dominant
United States of America,216.72906315385,101.8091225333648,1,4,PCA-dominant
Cambodia,467.01416526712,9.323205850423502,4,1,BPH-dominant
Tuvalu,443.86140818182,66.16507622699974,4,3,BPH-dominant
Qatar,268.40196444125,29.47067043257087,2,2,consistent
Monaco,195.0787925101,107.30446300182952,1,4,PCA-dominant
Micronesia (Federated States of),445.42107735068,32.08722947117701,4,2,BPH-dominant
Angola,245.83823785749,56.56056483949882,1,3,PCA-dominant
North Macedonia,387.7136404156,23.69901251665588,3,1,BPH-dominant
United States Virgin Islands,359.76964621651,106.15229819699135,3,4,PCA-dominant
Timor-Leste,467.05375621264,12.022506184709174,4,1,BPH-dominant
Viet Nam,531.54615280708,5.5645839909928485,4,1,BPH-dominant
Mali,244.30468387607,23.50644769220975,1,1,consistent
Serbia,421.73533795107,40.14524008999632,3,2,BPH-dominant
Tunisia,249.65756120648,39.92640864721773,2,2,consistent
Kuwait,253.5949249562,26.7678221811942,2,2,consistent
Spain,190.07133206281,56.91953923836501,1,3,PCA-dominant
Azerbaijan,329.93001624917,16.58769013897882,3,1,BPH-dominant
Türkiye,242.9479062004,37.03119743704869,1,2,PCA-dominant
Taiwan,470.91264341869,43.37021634400579,4,3,BPH-dominant
Austria,476.11355402063,68.10501188343214,4,4,consistent
Republic of Moldova,632.82070249842,38.95896534086262,4,2,BPH-dominant
Estonia,629.84470574882,119.066905367883,4,4,consistent
Saint Vincent and the Grenadines,367.40983031046,105.83797203585604,3,4,PCA-dominant
Bosnia and Herzegovina,385.39896442502,33.53649990105568,3,2,BPH-dominant
Netherlands,193.49122488984,73.59206248630285,1,4,PCA-dominant
Russian Federation,664.59258158383,58.93055310104719,4,3,BPH-dominant
Gabon,246.99221480813,47.75547669171322,2,3,PCA-dominant
Australia,234.89374871873,95.2636668369618,1,4,PCA-dominant
Guyana,369.16705528288,75.76473732081693,3,4,PCA-dominant
Ukraine,665.47029151758,39.76899333158951,4,2,BPH-dominant
Israel,196.14124902082,38.15625714832849,1,2,PCA-dominant
Japan,143.7604484512,30.71625458945713,1,2,PCA-dominant
Bulgaria,380.11354995867,49.455777882177806,3,3,consistent
Greenland,211.58832711684,33.224790938312594,1,2,PCA-dominant
Latvia,630.1160545037201,101.62972394071376,4,4,consistent
Uruguay,152.34266572495,70.34217911220257,1,4,PCA-dominant
Guinea,244.08960917769,28.58081304450791,1,2,PCA-dominant
El Salvador,503.53857849247,76.4454164384594,4,4,consistent
Mozambique,263.69030855871,6.425874216521959,2,1,BPH-dominant
Bahamas,360.06540126650003,196.27350622601625,3,4,PCA-dominant
Georgia,377.79591403036,47.80445222151057,3,3,consistent
New Zealand,256.6470739062,100.09792111721976,2,4,PCA-dominant
Egypt,243.80765844105,14.343782263787295,1,1,consistent
Guinea-Bissau,245.19341900546,25.54141441489102,1,2,PCA-dominant
Czechia,474.47780497204,62.05063769645813,4,3,BPH-dominant
Barbados,358.93661964863,136.8018342402378,3,4,PCA-dominant
Kiribati,447.58514883685,8.388339778716695,4,1,BPH-dominant
Denmark,208.15416285755,83.2000766401746,1,4,PCA-dominant
Niger,241.7701047983,7.892864012152115,1,1,consistent
Somalia,262.67668650003003,17.561242815316543,2,1,BPH-dominant
South Africa,347.00876799266,49.23747302054736,3,3,consistent
Norway,537.14861576155,80.70292006069567,4,4,consistent
Antigua and Barbuda,361.70342015208,139.41344680367715,3,4,PCA-dominant
Italy,338.87046558164,56.008578106548335,3,3,consistent
United Arab Emirates,256.67401770588,14.422188928249785,2,1,BPH-dominant
Mauritania,242.26305052328,45.39014941356131,1,3,PCA-dominant
Madagascar,260.92635490844,39.0412287786119,2,2,consistent
Sweden,234.53680869366,81.10687003493862,1,4,PCA-dominant
Kazakhstan,332.90821026769004,19.82265963298026,3,1,BPH-dominant
Montenegro,384.06375123633,56.00493478426935,3,3,consistent
Nigeria,257.53071573033,45.75121878771887,2,3,PCA-dominant
Guam,430.03280370571,21.00238282701977,3,1,BPH-dominant
Benin,245.21235573197,43.17310454219818,1,3,PCA-dominant
Belgium,438.56791510684,60.42295312182979,4,3,BPH-dominant
Luxembourg,213.96660847855,54.19766866286446,1,3,PCA-dominant
Central African Republic,247.6500734902,29.43270831011578,2,2,consistent
Congo,247.3112075971,54.96532461943252,2,3,PCA-dominant
Panama,504.95509246054,67.62050930065915,4,4,consistent
Nauru,441.1310491189501,47.67279594189389,4,3,BPH-dominant
Iran (Islamic Republic of),262.64589572339,31.71837619372075,2,2,consistent
Papua New Guinea,437.55880498069,25.018772656735518,3,2,BPH-dominant
Lebanon,247.69574675022,29.379593002455017,2,2,consistent
Portugal,198.92122634154,87.21605739472028,1,4,PCA-dominant
Guatemala,509.7219919951201,46.5634929917242,4,3,BPH-dominant
Haiti,363.19527156993,61.2193019238866,3,3,consistent
Rwanda,260.95735483623,42.37839111628717,2,3,PCA-dominant
Canada,210.61152712971,58.89747308515162,1,3,PCA-dominant
Marshall Islands,469.0901535487,50.272874202609934,4,3,BPH-dominant
Kyrgyzstan,287.45683421234,11.121654905745284,2,1,BPH-dominant
Iraq,250.33995586026,23.61088538311272,2,1,BPH-dominant
Tajikistan,332.27681721384,7.735955567000484,3,1,BPH-dominant
Malawi,263.67253886563003,32.68461315711596,2,2,consistent
Suriname,366.98354751392,64.8653496587385,3,3,consistent
Eswatini,324.60228142015,28.86906714428916,2,2,consistent
Indonesia,438.56538889667,13.872696960356643,4,1,BPH-dominant
Poland,312.62419446437,41.91363848167886,2,3,PCA-dominant
Brunei Darussalam,136.80254178865002,18.74550847313366,1,1,consistent
Hungary,382.29136542022,45.52902918815554,3,3,consistent
Yemen,241.45275098143,14.710229917720325,1,1,consistent
Burkina Faso,244.44999201124,25.78272123086302,1,2,PCA-dominant
Finland,432.98448057957006,97.57448492785556,3,4,PCA-dominant
Honduras,507.75719213823,20.34504001820236,4,1,BPH-dominant
Jamaica,361.47362897975,136.36379167755462,3,4,PCA-dominant
Cyprus,193.21330481788,78.95222458914536,1,4,PCA-dominant
Mauritius,487.35387652301,30.48016022777279,4,2,BPH-dominant
Libya,252.31678437261,20.171099119526964,2,1,BPH-dominant
Jordan,277.04316418554,37.20660274039771,2,2,consistent
Venezuela (Bolivarian Republic of),503.63059836876,97.85871219778733,4,4,consistent
Mongolia,322.3325351613,7.488252361528926,2,1,BPH-dominant
Romania,448.82867545304,33.88631366275029,4,2,BPH-dominant
Zimbabwe,324.78104268315,40.35905527906958,2,2,consistent
Samoa,440.48252269402,10.697585672691924,4,1,BPH-dominant
Niue,459.71261118811,26.953392467945942,4,2,BPH-dominant
Trinidad and Tobago,368.95435285749,143.8328239610247,3,4,PCA-dominant
Mexico,537.71598155407,39.45233845143265,4,2,BPH-dominant
Saint Lucia,370.28742711424,112.15351354204763,3,4,PCA-dominant
Seychelles,483.28635165491,83.2844926236938,4,4,consistent
Democratic Republic of the Congo,245.83679615361,58.03493719656596,1,3,PCA-dominant
Lao People's Democratic Republic,471.51824742240007,12.598519469605543,4,1,BPH-dominant
France,191.75198981861,88.31360759840281,1,4,PCA-dominant
Turkmenistan,329.38892111752,7.904642863464687,3,1,BPH-dominant
Malaysia,473.49459044626,15.984156688891874,4,1,BPH-dominant
Equatorial Guinea,247.64634802768,85.51018365538803,2,4,PCA-dominant
